"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"751","125","10","17","0","12","0","12","10","17","24","34","0","12","24","34","0","12","30","35","30","35","0","12","0","12","116","81","7","13","109","80","0","12","162","89","136","85","26","31","0","12","244","100","223","100","21","28","0","12","165","63","165","63","0","12","0","12","1500000US371790203162","Block Group 2, Census Tract 203.16, Union County, North Carolina"
"385","96","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","32","7","11","21","30","0","12","52","55","39","48","13","22","0","12","69","46","39","33","30","34","0","12","53","37","53","37","0","12","0","12","183","88","168","86","15","23","0","12","1500000US371790203171","Block Group 1, Census Tract 203.17, Union County, North Carolina"
"727","161","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","60","36","23","32","37","33","0","12","149","97","114","87","35","34","0","12","181","95","126","70","55","46","0","12","171","106","135","91","36","44","0","12","166","93","166","93","0","12","0","12","1500000US371790203172","Block Group 2, Census Tract 203.17, Union County, North Carolina"
"405","106","0","12","0","12","0","12","0","12","34","40","0","12","34","40","0","12","7","12","7","12","0","12","0","12","14","22","14","22","0","12","0","12","127","103","92","81","35","56","0","12","67","53","67","53","0","12","0","12","156","82","156","82","0","12","0","12","1500000US371790203173","Block Group 3, Census Tract 203.17, Union County, North Carolina"
"1107","164","19","29","0","12","0","12","19","29","27","22","27","22","0","12","0","12","124","60","115","59","9","16","0","12","163","112","56","47","107","103","0","12","181","99","126","83","55","49","0","12","188","114","173","111","15","26","0","12","405","113","397","113","8","14","0","12","1500000US371790204011","Block Group 1, Census Tract 204.01, Union County, North Carolina"
"676","125","15","25","0","12","15","25","0","12","0","12","0","12","0","12","0","12","44","45","27","38","17","27","0","12","143","94","41","46","102","85","0","12","196","95","178","100","18","36","0","12","127","75","127","75","0","12","0","12","151","69","151","69","0","12","0","12","1500000US371790204012","Block Group 2, Census Tract 204.01, Union County, North Carolina"
"473","115","0","12","0","12","0","12","0","12","71","66","0","12","71","66","0","12","51","54","8","13","43","54","0","12","81","60","40","38","41","51","0","12","125","75","84","60","41","38","0","12","48","29","48","29","0","12","0","12","97","71","97","71","0","12","0","12","1500000US371790204031","Block Group 1, Census Tract 204.03, Union County, North Carolina"
"624","143","11","22","0","12","11","22","0","12","6","12","6","12","0","12","0","12","78","71","14","15","64","70","0","12","106","66","63","52","43","41","0","12","147","71","94","61","53","46","0","12","196","116","138","100","58","75","0","12","80","62","80","62","0","12","0","12","1500000US371790204032","Block Group 2, Census Tract 204.03, Union County, North Carolina"
"286","93","35","41","0","12","35","41","0","12","9","16","9","16","0","12","0","12","28","41","0","12","28","41","0","12","37","40","10","17","27","37","0","12","86","67","74","64","12","14","0","12","71","48","71","48","0","12","0","12","20","32","20","32","0","12","0","12","1500000US371790204033","Block Group 3, Census Tract 204.03, Union County, North Carolina"
"246","78","18","31","0","12","18","31","0","12","12","20","0","12","12","20","0","12","12","24","12","24","0","12","0","12","26","31","13","21","13","22","0","12","173","75","173","75","0","12","0","12","5","15","5","15","0","12","0","12","0","12","0","12","0","12","0","12","1500000US371790204041","Block Group 1, Census Tract 204.04, Union County, North Carolina"
"154","82","39","49","0","12","0","12","39","49","38","44","2","13","36","40","0","12","34","39","34","39","0","12","0","12","43","53","43","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US371790204042","Block Group 2, Census Tract 204.04, Union County, North Carolina"
"58","57","4","11","0","12","4","11","0","12","6","11","0","12","6","11","0","12","38","52","0","12","38","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","18","10","18","0","12","0","12","0","12","0","12","0","12","0","12","1500000US371790204043","Block Group 3, Census Tract 204.04, Union County, North Carolina"
"84","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","18","0","12","9","18","0","12","75","72","60","64","15","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US371790204044","Block Group 4, Census Tract 204.04, Union County, North Carolina"
"720","142","22","26","0","12","22","26","0","12","89","60","18","21","71","56","0","12","164","83","6","10","158","82","0","12","100","52","24","28","76","50","0","12","135","106","103","101","32","33","0","12","51","39","51","39","0","12","0","12","159","74","145","82","14","24","0","12","1500000US371790205011","Block Group 1, Census Tract 205.01, Union County, North Carolina"
"218","86","0","12","0","12","0","12","0","12","52","48","33","38","19","29","0","12","18","20","18","20","0","12","0","12","23","26","10","16","13","20","0","12","79","85","63","80","16","27","0","12","21","23","21","23","0","12","0","12","25","25","25","25","0","12","0","12","1500000US371790205012","Block Group 2, Census Tract 205.01, Union County, North Carolina"
"217","76","0","12","0","12","0","12","0","12","10","17","0","12","10","17","0","12","46","44","17","28","29","34","0","12","36","39","36","39","0","12","0","12","62","59","62","59","0","12","0","12","0","12","0","12","0","12","0","12","63","39","63","39","0","12","0","12","1500000US371790205013","Block Group 3, Census Tract 205.01, Union County, North Carolina"
